German,English
interessant,interesting
darauf,on it / thereupon
halb,half
das Wetter,the weather
der Wetterbericht,the weather forecast
die Temperatur,the temperature
Grad Celsius,degrees Celsius
der Regen,the rain
regnen,to rain
die Wolke,the cloud
der Nebel,the fog
nebelig,foggy
der Wind,the wind
windig,windy
das Eis,the ice
die Luft,the air
der Donner,the thunder
"das Gewitter, das Unwetter","""the thunderstorm, the bad weather"""
kalt,cold
warm,warm
heiß,hot
schwül,humid
trocken,dry
nass,wet
niedrig,low
riesig,huge
ruhig,quiet / calm
faszinierend,fascinating
winzig,tiny
völlig,completely
wirklich,really / truly
ideal,ideal
zurück,back
zurückkommen,to come back
beobachten,to observe
ansteigen,to rise / to increase
sich anschauen,to look at
hoffen,to hope
das Restaurant,the restaurant
der Kellner,the waiter
der Service,the service
der Speisesaal,the dining room
die Speisekarte,the menu
die Bestellung,the order
das Gericht,the dish
das Menü,the set menu
die Vorspeise,the appetizer / starter
"der Hauptgang, das Hauptgericht","""the main course"""
der Nachtisch,the dessert
das Buffet,the buffet
das Gemüse,the vegetables
der Hamburger,the hamburger
die Pizza,the pizza
die Soße,the sauce
der Fisch,the fish
die Früchte,the fruits
die Schlagsahne,the whipped cream
das (Speise)Eis,the ice cream
der Aschenbecher,the ashtray
die Serviette,the napkin
der Teelöffel,the teaspoon
die Rechnung,the bill / check
hausgemacht,homemade
das Trinkgeld,the tip
vegetarisch,vegetarian
begrüßen,to greet
hungrig sein,to be hungry
"aussuchen, auswählen","""to choose, to select"""
"sich freuen auf etwas, sich freuen auf jemanden","""to look forward to something, to look forward to someone"""
bringen,to bring
servieren,to serve
genießen,to enjoy
ausschenken,to pour
dürfen,to be allowed to / may
viel,much
viele,many
zu viel,too much
zu viele,too many
so viel,so much
nicht viel,not much
"nach, danach","""after, afterwards"""
der Januar,January
der Februar,February
der März,March
der April,April
der Mai,May
der Juni,June
der Juli,July
der August,August
der September,September
der Oktober,October
der November,November
der Dezember,December
der Monat,the month
die Zeitung,the newspaper
das Praktikum,the internship
die Schlagzeile,the headline
der Zeitungsartikel,the newspaper article
die Broschüre,the brochure
das Informationsmaterial,the information material
die Unterhaltung,the entertainment
das Geräusch,the noise
der Sport,the sport
das Sportzentrum,the sports center
schon,already
jemanden anrufen,to call someone
bitten um,to ask for
schicken,to send
schreiben,to write
"bekommen, erhalten","""to get, to receive"""
der Montag,Monday
der Dienstag,Tuesday
der Mittwoch,Wednesday
der Donnerstag,Thursday
der Freitag,Friday
der Samstag,Saturday
der Sonntag,Sunday
die Woche,the week
der Frühling,the spring
der Sommer,the summer
der Herbst,the autumn / fall
der Winter,the winter
schwimmen,to swim
Tennis spielen,to play tennis
der Schläger,the racket
Fußball spielen,to play football (soccer)
der Basketball,the basketball
Fahrrad fahren,to ride a bike
das Fahrrad,the bicycle
das Eishockey,the ice hockey
das Joggen,the jogging
das Billard,the billiards
der Volleyball,the volleyball
der Ball,the ball
"der Trainer, die Trainerin","""the coach, the trainer (male, female)"""
Spaß haben (i.S.v.: sich amüsieren),to have fun
der Ort,the place / town
der Stadtrand,the outskirts of a city
die Diät,the diet
"fit, in guter Form sein","""to be fit, to be in good shape"""
fit bleiben,to stay fit
gesund,healthy
leihen,to lend / to borrow
aufbrauchen,to use up
lesen,to read
brauchen,to need
beschließen / entscheiden,to decide
bleiben,to stay
fühlen,to feel
anbieten,to offer
antworten,to answer
verschiedene,different / various
wenn,if / when
"der Abfall, der Müll","""the waste, the garbage"""
den Müll trennen,to separate trash
die Mülldeponie,the landfill
"der Abfalleimer, der Müllbehälter","""the trash can, the bin"""
der Papiercontainer,the paper container
das Altpapier,the waste paper
das Recycling,the recycling
der Komposthaufen,the compost heap
das Plastik,the plastic
die Umwelt,the environment
die Wüste,the desert
der Baum,the tree
die Landschaft,the landscape
der Verbraucher,the consumer
der Raum,the room / space
die Firma,the company
der Verkäufer,the salesperson
der Kunde,the customer
das Angebot,the offer
zum Schluß,finally / in the end
verunreinigen,to pollute
wegwerfen,to throw away
"scheinen, wirken als ob","""to seem, to appear as if"""
sich unterhalten über,to talk about
funktionieren,to work / to function
helfen,to help
wollen,to want
aufräumen,to clean up
ausführlich,detailed / extensive
das Schweinefleisch,the pork
das Kalbfleisch,the veal
das Rindfleisch,the beef
das Hähnchen,the chicken
das Lamm,the lamb
der Lachs,the salmon
die Meeresfrüchte,the seafood
die Muschel,the mussel
die Garnele,the shrimp / prawn
der Thunfisch,the tuna
die Gurke,the cucumber
die Tomate,the tomato
die Zwiebel,the onion
der Knoblauch,the garlic
der Spinat,the spinach
der Pilz,the mushroom
der Mais,the corn
der Kohl,the cabbage
kaufen,to buy
die Bohnen (Pl.),the beans (pl.)
die Erbsen (Pl.),the peas (pl.)
die Karotte,the carrot
die Kartoffel,the potato
der Blumenkohl,the cauliflower
das Wasser,the water
das Mineralwasser,the mineral water
der Wein,the wine
der Alkohol,the alcohol
der Rum,the rum
der Wodka,the vodka
das Milchprodukt,the dairy product
der Essig,the vinegar
das Öl,the oil
das Salz,the salt
der Zucker,the sugar
der Kühlschrank,the refrigerator
der Koch,the cook
"das Fest, die Party","""the party, the celebration"""
die Olive,the olive
das Mehl,the flour
die Kräuter,the herbs
die Spezialität,the specialty
die Liste,the list
das Geschäft,the store / shop
der Supermarkt,the supermarket
ein Paar,a pair
nach Hause kommen,to come home
einkaufen,to go shopping
kosten,to cost
Was kostet das?,How much is it?
sich entscheiden,to decide
kochen,to cook
feiern,to celebrate
jemanden einladen,to invite someone
"notieren, aufschreiben","""to write down, to note"""
leer,empty
voll,full
süß,sweet
fett,fatty / greasy
dringend,urgent
geschäftlich,on business / for business reasons
"weil, wegen","""because, because of"""
wieder,again
genug,enough
einige,some / a few
der Ausflug,the trip / excursion
der Rucksack,the backpack
die Reisetasche,the travel bag
die Insel,the island
das Buch,the book
das Wochenende,the weekend
nächste Woche,next week
das nächste Mal,the next time
liebenswürdig,kind
nett,nice
"nötig, notwendig","""necessary"""
ausgehen,to go out
plaudern,to chat
sich erinnern,to remember
die Geschirrspülmaschine,the dishwasher
abwaschen,to do the dishes
das Haus,the house
die Wohnung,the apartment / flat
das Apartment,the apartment
das Wohnheim,the dormitory
der Besitzer,the owner
die Miete,the rent
die Nebenkosten,the utility costs
der Keller,the cellar / basement
das Untergeschoss,the basement
der Aufzug,the elevator / lift
die Tür,the door
die Haustür,the front door
das Fenster,the window
der Balkon,the balcony
der Balkon,the balcony
das Schlafzimmer,the bedroom
die Bettdecke,the duvet / comforter
das Kopfkissen,the pillow
die Küche,the kitchen
das Wohnzimmer,the living room
die Möbel,the furniture
das Licht,the light
die Dusche,the shower
die Klimaanlage,the air conditioning
"reinigen, putzen","""to clean"""
waschen,to wash
sauber,clean
schmutzig,dirty
lieben,to love
hassen,to hate
umziehen,to move (house)
einrichten,to furnish
verstehen,to understand
wirken,to seem / appear
froh,happy / glad
allein,alone
das Museum,the museum
der Künstler,the artist
die Kunstgalerie,the art gallery
die Bank,the bank
das Gefängnis,the prison
der Arzt,the doctor
der Zahnarzt,the dentist
der Rechtsanwalt,the lawyer
der Reiseführer,the travel guide
"die Geschichte (histor.), die Erzählung","""the history, the story"""
der Tourist,the tourist
das Stockwerk,the floor / story
der Film,the movie / film
einen Film drehen,to shoot a film
die Zeit,the time
in letzter Zeit,lately / recently
die Notiz,the note
ankommen,to arrive
vermieten,to rent out
verbringen,to spend
sitzen,to sit
"besitzen, gehören","""to own, to belong to"""
aufwachsen,to grow up
immer,always
jetzt,now
früher,before / formerly
bestimmt,definitely / certainly
deshalb,therefore
über,over / about
hinter,behind
neben,next to / beside
für,for
seit,since
während,during
woanders,elsewhere
der Brief,the letter
die Postkarte,the postcard
die Briefmarke,the postage stamp
"Lieber, ...","""Dear, ..."""
der Bruder,the brother
"der Junge (1. Kleinkind, 2. Jugendlicher, 3. allgemein)","""the boy (1. infant, 2. teenager, 3. general)"""
"das Mädchen (1. Kleinkind, 2. Jugendliche, 3. allgemein)","""the girl (1. infant, 2. teenager, 3. general)"""
der Opa,the grandpa
die Neuigkeit,the news
der Besucher,the visitor
der Gedanke,the thought
das Foto,the photo
die Anmerkung,the remark / note
ein Foto machen,to take a photo
das Flugticket,the plane ticket
jemanden besuchen,to visit someone
mitbringen,to bring with
glauben,to believe
kleben,to glue / stick
abschicken,to send / mail
freundlich,friendly
höflich,polite
unhöflich,impolite / rude
persönlich,personal
aufregend,exciting
toll,great / awesome
kurz,short
lang,long
folgende,following
nachdem,after
"damit (1. damit, 2. allgemein, 3. Konjunktion)","""so that (1. so that, 2. general, 3. conjunction)"""
das Auto,the car
der Führerschein,the driver's license
die Tankstelle,the gas station
das Benzin,the gasoline / petrol
das Normalbenzin,the regular gasoline
bleifrei,unleaded
das Superbenzin,the premium gasoline
der Diesel (-Kraftstoff),the diesel (fuel)
der Benzintank,the gas tank
die Autobahn,the highway / motorway
der Stau,the traffic jam
der Unfall,the accident
die Werkstatt,the workshop / garage
die Polizei,the police
der Krankenwagen,the ambulance
die Feuerwehr,the fire department
das Feuerwehrauto,the fire truck
der Flughafen,the airport
abbiegen nach,to turn to
anhalten,to stop
einwerfen,to drop in / throw in
"passieren, geschehen","""to happen, to occur"""
verletzt werden,to get injured
weh tun,to hurt
sterben,to die
unverletzt,uninjured
aufgeregt,excited
sicher,safe / sure
"der Parkplatz, die Parklücke","""the parking lot, the parking space"""
das Reisebüro,the travel agency
einen Flug buchen,to book a flight
die Buchungsbestätigung,the booking confirmation
das (Flug)Ticket,the (flight) ticket
der Ticketschalter,the ticket counter
der Flug,the flight
das Flugzeug,the airplane
das Flughafengebäude,the airport terminal
die Ankunft,the arrival
der Abflug,the departure
die Abflughalle,the departure lounge
der Ausgang,the gate
die Verspätung,the delay
Economy-Klasse,economy class
der Anschlussflug,the connecting flight
Business-Klasse,business class
das Gepäck,the luggage / baggage
der Koffer,the suitcase
der Kofferkuli,the luggage trolley
der Platz am Gang,the aisle seat
der Fensterplatz,the window seat
der Raucher,the smoker
der Nichtraucher,the non-smoker
die Zigarette,the cigarette
rauchen,to smoke
verkaufen,to sell
einchecken,to check in
der Check-in,the check-in
fliegen,to fly
das Geschenk,the gift
das Musikgeschäft,the music store
die CD (Kompaktdisk),the CD (compact disc)
die Schallplatte,the record
das Spielwarengeschäft,the toy store
der Flohmarkt,the flea market
der Buchladen,the bookstore
der Roman,the novel
der Zeitungsverkäufer,the news vendor
der Zeitungskiosk,the newsstand
die Zeitschrift,the magazine
das Kaufhaus,the department store
das Einkaufszentrum,the shopping center
"das Ding, die Sache","""the thing, the matter"""
das Stück,the piece
der Großvater,the grandfather
die Jacke,the jacket
der Kamm,the comb
die Zahnbürste,the toothbrush
das Duschgel,the shower gel
die Seife,the soap
das Deodorant,the deodorant
"packen, einpacken","""to pack"""
etwas mitnehmen,to take something along
auspacken,to unpack
meinen,to mean / to think
sich wünschen,to wish for
sich anhören,to sound like
hören,to hear
leicht,easy / light
mitnehmen,to take with / along
lustig,funny
traurig,sad
"letzter, letzte, letztes","""last"""
das Telefon,the telephone
die Adresse,the address
der Ring,the ring
die Halskette,the necklace
das Gold,the gold
das Silber,the silver
der Wert,the value
der Juwelier,the jeweler
der Schmuck,the jewelry
die Ohrringe,the earrings
der Laden,the store / shop
das Postamt,the post office
das Geschäft,the business / shop
die Oma,the grandma
die Großmutter,the grandmother
der Gefallen,the favor
die Angst,the fear
ängstlich,afraid / anxious
Spanien,Spain
"besonders, ausgefallen","""special, unusual"""
wertvoll,valuable
übrigens,by the way
geben,to give
zurückgeben,to give back
abholen,to pick up
verlieren,to lose
"klingeln, läuten","""to ring"""
Kroatien,Croatia
kroatisch,Croatian
amerikanisch,American
Deutschland,Germany
deutsch,German
England,England
englisch,English
Frankreich,France
französisch,French
Griechenland,Greece
griechisch,Greek
Indien,India
indisch,Indian
Italien,Italy
italienisch,Italian
Österreich,Austria
Österreich,Austria
österreichisch,Austrian
Portugal,Portugal
portugiesisch,Portuguese
Russland,Russia
russisch,Russian
Schweiz,Switzerland
schweizerisch,Swiss
Spanien,Spain
spanisch,Spanish
die Sprache,the language
das Land,the country
die Kultur,the culture
der (Flughafen)terminal,the (airport) terminal
die Zollkontrolle,the customs control
die Sicherheitskontrolle,the security check
landen,to land
warten auf,to wait for
heben,to lift
tragen,to carry
"dauern, andauern","""to last, to continue"""
müde,tired
unterschiedlich,different
die Mutter,the mother
der Ehering,the wedding ring
die Bitte,the request
die Außenbezirke,the outskirts
sich Sorgen machen,to worry
geöffnet,opened
öffnen,to open
geschlossen,closed
erzählen,to tell
verschicken,to send
telefonieren,to telephone
die Telefonnummer,the telephone number
das Adressbuch,the address book
sich (am Telefon) melden,to answer (the phone)
in Panik geraten,to panic
die Krise,the crisis
der Traum,the dream
der Dieb,the thief
die Person,the person
die Tasche,the bag
die Augen,the eyes
schlafen,to sleep
einschlafen,to fall asleep
schließen,to close
verschwinden,to disappear
schauen,to look
sich nähern,to approach
stehlen,to steal
schreien,to scream
unheimlich,scary / eerie
verwirrt,confused
sofort,immediately
bald,soon
noch,still / yet
das Stadtviertel,the neighborhood / district
die Innenstadt,the downtown / city center
der Daumen,the thumb
der Kofferraum,the trunk (of a car)
das Picknick,the picnic
die Nudeln,the pasta / noodles
der Korb,the basket
die Flasche,the bottle
die Limonade,the lemonade
das Ende,the end
trampen,to hitchhike
jemanden mitnehmen,to give someone a ride
bremsen,to brake
etwas anhalten,to stop something
geraten in,to get into
herausfinden,to find out
jemandem etwas reichen,to pass something to someone
gemütlich,cozy
unbekannt,unknown
die Kleidung,the clothes
der Ausverkauf,the sale
die Modenschau,the fashion show
die Unterhose,the underpants
der BH,the bra
die Badehose,the swimming trunks
der Badeanzug,the swimsuit
der Rock,the skirt
das Kleid,the dress
die Jeans,the jeans
der Anzug,the suit
die Krawatte,the tie
die Bluse,the blouse
die Stiefel,the boots
der Mantel,the coat
der Regenschirm,the umbrella
der Hut,the hat
die Brille,the glasses
die Seide,the silk
die Reise,the journey / trip
passen,to fit
gut stehen,to suit / look good on
anprobieren,to try on
tragen,to wear
schick,chic / stylish
fantastisch,fantastic
teuer,expensive
weiß,white
grün,green
gelb,yellow
braun,brown
blau,blue
schwarz,black
grau,gray
die Farbe,the color
die Sandalen,the sandals
die Schuhe,the shoes
das Hemd,the shirt
die Strümpfe,the socks
die Strumpfhose,the tights
die Hose,the trousers / pants
der Pullover,the sweater / pullover
die Baumwolle,the cotton
die Mode,the fashion
passend (z.B. bezahlen),"fitting (e.g., to pay the exact amount)"
bequem,comfortable
reduziert,reduced
langweilig,boring
das Gewürz,the spice
würzen,to season
der Pfeffer,the pepper
der Senf,the mustard
sauer,sour
scharf,spicy / hot
gebacken / gebraten,baked / fried
gut durchgebraten,well-done
gebraten,fried
gekocht,boiled
gegrillt,grilled
mager,lean
das Steak,the steak
das Geflügel,the poultry
der Metzger,the butcher
die Portion,the portion
die Scheibe,the slice
die Schüssel,the bowl
die Pfanne,the pan
der Reis,the rice
braten,to fry
etwas erledigen,to take care of something / to get something done
der Telefonanruf,the phone call
die Telefonzelle,the phone booth
das Handy,the cell phone / mobile phone
die SMS,the text message (SMS)
der Anrufbeantworter,the answering machine
die Nachricht,the message
der Hörer,the receiver (of a phone)
die Telefonkarte,the phone card
eine Telefonnummer wählen,to dial a phone number
die Party,the party
die Blume,the flower
der Geburtstag,the birthday
das Schild,the sign
außer Betrieb,out of order
die Bar,the bar
der Kuss,the kiss
jemanden küssen,to kiss someone
die Wangen,the cheeks
benutzen,to use
versuchen,to try
aufmerksam,attentive
früh,early
spät,late
nebenan,next door
um Hilfe rufen,to call for help
Hilfe!,Help!
Zum Glück!,Fortunately! / Luckily!
Zum Glück!,Luckily!
außer Kontrolle geraten,to get out of control
das Feuer,the fire
die Flamme,the flame
Feuer fangen,to catch fire
die Hochzeit,the wedding
der Rand,the edge
das Erdgeschoss,the ground floor
die Stimme,the voice
das Krankenhaus,the hospital
die Nachbarn,the neighbors
der Stein,the stone
der Schaden,the damage
einschlagen,to smash
verursachen,to cause
rennen,to run
fangen,to catch
hinaushelfen,to help out
weinen,to cry
tapfer,brave
glücklich,happy
schlimm,bad
furchtbar,terrible
langsam,slow
schnell,fast
schockiert,shocked
der Kopf,the head
das Gesicht,the face
das Auge,the eye
die Augenbraue,the eyebrow
der Mund,the mouth
die Lippen,the lips
die Zunge,the tongue
der Zahn,the tooth
die Zähne,the teeth
die Nase,the nose
das Ohr,the ear
das Kinn,the chin
die Haare,the hair
dunkelhaarig,dark-haired
"das Genick, der Nacken","""the neck, the nape"""
die Schulter,the shoulder
der Rücken,the back
der Arm,the arm
die Ellbogen,the elbow
die Hand,the hand
der Finger,the finger
das Bein,the leg
das Knie,the knee
der Fuß,the foot
die Füße,the feet
der Zeh,the toe
der Bauch,the belly / stomach
das Blut,the blood
der Knochen,the bone
krank,sick
die Krankheit,the illness
die Grippe,the flu
das Fieber,the fever
das Fieberthermometer,the thermometer
der Husten,the cough
der Durchfall,the diarrhea
die Magenverstimmung,the upset stomach
die Kopfschmerzen,the headache
die Kopfschmerztablette,the headache pill
die Halsschmerzen,the sore throat
die Übelkeit,the nausea
die Übelkeit,the nausea
die Übelkeit,the nausea
die Vergiftung,the poisoning
die Verletzung,the injury
die Wunde,the wound
die Allergie,the allergy
der Sonnenbrand,the sunburn
der Arzt,the doctor
der Patient,the patient
die Apotheke,the pharmacy
das Rezept,the prescription
das Medikament,the medicine
das Verhütungsmittel,the contraceptive
das Kondom,the condom
die Pille (iSv. Verhütungsmittel),the pill (as in birth control)
das Antibiotikum,the antibiotic
der Tampon,the tampon
die Zahnpasta,the toothpaste
das Fach,the subject / compartment
das Alphabet,the alphabet
alphabetisch,alphabetical
sortieren,to sort
sich informieren,to inform oneself
jemanden beliefern mit,to supply someone with
das Internet,the internet
das Theater,the theater
die Vorstellung,the performance
die Theaterkasse,the box office
Karten reservieren,to reserve tickets
ausverkauft,sold out
das Kino,the cinema / movie theater
der Western,the western
der Zeichentrickfilm,the cartoon
das Märchen,the fairy tale
der Erzähler,the narrator
die Königin,the queen
der König,the king
